key,value
russian,русский
linguistic,лингвистический
bulletin,Бюллетень
theoretical,теоретический
applied,применяемый
comparative,сравнительный
linguistics,лингвистика
doi,дои
chatgpt,Чатгпт
1,1
orcid,Оркс
better,лучше
legalese,Legalese
issue,проблема
transforming,трансформация
contextual,контекстуальный
word,слово
groups,группа
legal,юридический
phrases,фразы
formal,формальный
style,стиль
research,исследовать
article,статья
tn1,TN1
southern,южный
federal,федеральный
university,университет
federation,Федерация
corresponding,соответствующий
author,автор
abstract,абстрактный
dedicated,преданный
analysis,анализ
group,группа
words,слова
combinations,Комбинации
selected,выбран
method,метод
continuous,непрерывный
sampling,выборка
american,американец
series,ряд
orientation,ориентация
directly,напрямую
related,связанный
vocabulary,словарный запас
characters,персонажи
court,суд
lawyers,адвокаты
consultations,Консультации
discussing,обсуждение
criminal,преступник
cases,случаи
distinguished,выдающийся
emotional,эмоциональный
colouring,раскраска
half,половина
fixed,зафиксированный
expressions,выражения
slang,сленг
criminals,преступники
particular,особый
interest,интерес
fact,факт
speech,речь
tv,телевидение
fits,подходит
framework,рамки
colloquial,разговорный
accordingly,соответственно
rich,богатый
terms,условия
idioms,идиомы
latinisms,латинизм
attributes,атрибуты
everyday,каждый день
familial,семейный
relevance,актуальность
work,работа
emergence,появление
study,изучать
new,новый
technologies,технологии
help,помощь
translate,переводить
specialized,специализирован
practical,практичный
application,приложение
contribute,способствовать
solving,Решение
problem,проблема
examines,ОБРАЩЕНИЕ
examples,примеры
converting,конвертирование
ordinary,обычный
language,язык
significance,значение
translators,переводчики
improve,улучшать
professional,профессионал
skills,навыки
prepare,подготовить
future,будущее
career,карьера
law,закон
translation,перевод
keywords,ключевые слова
plain,простой
jargon,жаргон
transformation,трансформация
8,8
c,в
2,2
5,5
6,6
9,9
3,3
4,4
7,7
xxi,XXI
young,молодой
men,мужчина
near,около
honour,честь
students,студенты
feeling,чувство
oats,овсяной
saturday,суббота
night,ночь
went,шел
little,маленький
bananas,бананы
competent,компетентный
persons,люди
commendable,похвально
scholars,ученые
experienced,опытный
surge,всплеск
exuberance,изобилие
evening,вечер
subsequently,впоследствии
engaged,помолвлен
behavior,поведение
characterized,охарактеризовано
somewhat,немного
erratic,невозмутимый
s01ep01000952001003,S01EP01000952001003
thats,это
goes,идет
south,юг
need,нуждаться
corner,угол
fight,драться
tooth,зуб
nail,ноготь
juncture,младший
circumstances,обстоятельства
deteriorate,ухудшаться
imperative,императив
advocate,адвокат
vigorously,энергично
defend,защищать
s01ep01,S01EP01
ripped,разорван
fraudulent,мошеннический
activity,активность
dealing,сделка
deceitfully,лживо
obtain,получать
assets,ресурсы
s02ep2,S02EP2
running,бег
peanut-butter,арахисовый мастер
crank,прозрачный
operating,работа
illicit,незаконно
enterprise,предприятие
involving,с участием
manufacture,производство
distribution,распределение
controlled,контролируется
substance,вещество
s02ep4,S02EP4
letter,письмо
explain,объяснять
details,подробности
boring,скучный
legalistic,легалистический
mumbo,мамбо
jumbo,гигант
correspondence,переписка
elucidate,выяснить
matter,иметь значение
specifics,специфики
constitute,составляют
tedious,скучный
verbiage,слова
s03ep6,S03EP6
conflict,конфликт
declared,объявлен
review,обзор
articles,статьи
reviewer,рецензент
publish,публиковать
public,публичный
provided,предоставил
authorities,власти
request,запрос
xiii,xiii
v,V.
universiteta,Universiteta
kutafin,Кутафин
p,п
em,Эм
ev,эвихт
ssha,SSHA
foreign,иностранный
languages,языки
intercultural,межкультурный
communication,коммуникация
radion,радио
tp,тк
specificity,специфичность
lexicon,лексикон
vi,VI
obshhej,Обгейдж
teorii,Теория
zakon,Закон
elementary,элементарный
beginnings,Начало
general,общий
order,заказ
moscow,Москва
koloss,Колосс
sp,шрифт
razvitie,Развити
sisteme,Система
na,НА
materiale,Материал
terminologii,Терминологии
formation,формация
development,разработка
terminology,терминология
system,система
material,материал
diss,дисс
phd,докторская степень
philology,филология
national,национальный
saratov,Саратов
state,состояние
named,названный
chernyshevsky,Чернишевский
khitrova,Хитрова
iv,IV
kak,как
osnova,Основа
knowledge,знание
peculiarities,особенности
basis,основа
texts,тексты
humanitarii,Humanitarii
humanities,гуманитарные науки
issues,проблемы
crystal,кристалл
d,дюймовый
dictionary,словарь
phonetics,фонетика
john,Джон
wileysons,Wilesons
url,URL
httpsopenaicom,httpsopenaicom
accessed,доступ
